id;nome;cidade;telefone;estado;limite_descarga;limite_premiacao;limite_baixa_automatica;limite_horario_encerramento;mensagem_pule_1;mensagem_pule_2;mensagem_pule_3;data;bonus
1;Awesome FTP;neural;virtual compressing;Wooden;25976;82044;40932;25366;Utah Burundi Franc;Ergonomic Frozen Pizza;withdrawal;2020-06-16T12:20:36;18467
2;Implemented lime bus;Music;withdrawal metrics;Utah zero defect innovate;85119;63558;2740;16923;gold Awesome clicks-and-mortar;Pound Sterling hacking;silver Personal Loan Account Ukraine;2020-06-16T03:57:12;78772
3;back-end web services;scale Belize compressing;Zambian Kwacha Moroccan Dirham Dynamic;Canadian Dollar cyan Cambridgeshire;12478;19854;42965;23934;Nevada Utah;Outdoors cross-media AI;generating;2020-06-16T06:59:48;33090
4;Self-enabling Intelligent Steel Shoes;program TCP Metrics;Unbranded;Rubber;26380;19192;51907;12041;Generic parsing sexy;auxiliary Self-enabling;payment connect Clothing;2020-06-15T17:27:28;7816
5;Cedi program Berkshire;Licensed dedicated;Licensed Wooden Bacon Credit Card Account;navigating;84301;49668;18727;78882;Liaison Unbranded Cotton Pants Idaho;Personal Loan Account Buckinghamshire;Intelligent;2020-06-15T23:12:34;18090
6;Senegal strategize Mobility;Stand-alone XML;programming;methodologies functionalities interface;36904;88890;85182;1882;bus Georgia withdrawal;Associate Walks;Cambridgeshire mint green;2020-06-16T11:45:35;10113
7;channels deposit Designer;Tasty Montserrat Cambridgeshire;Handcrafted;deposit Sleek Fresh Chair Clothing;91342;67465;12405;80372;Center integrate;Wyoming;cross-platform;2020-06-16T06:31:32;57434
8;architecture;Associate Louisiana;Andorra markets;initiative;50134;48798;18471;48856;Wyoming harness Assistant;Legacy Ameliorated;Cuba program Rustic;2020-06-16T04:59:11;86182
9;Avon redundant optical;Rand Namibia Dollar Beauty;Metrics Coordinator;Palestinian Territory zero administration magenta;26123;48361;86537;61565;Intelligent Granite Towels;United States of America;context-sensitive Auto Loan Account;2020-06-16T04:51:56;3359
10;Alabama;Macao lavender;haptic payment Kids;Shirt portal Analyst;90538;22808;77478;66880;Pennsylvania parse;Avenue Colombian Peso Unidad de Valor Real Sausages;Open-source Incredible Granite Hat Decentralized;2020-06-16T05:01:44;60728
