id;numero_bilhete;codigo_banca;codigo_loteria;loteria_nome;valor_total_aposta;bonus_banca;bonus_individual;comicao;valor_bilhete;data_hora_aposta;qrcode;codigo_terminal
1;6578;30404;77373;technologies uniform;72159;58670;2159;25511;10642;2020-07-05T22:56:26;Towels;99407
2;17745;74053;43373;Savings Account Auto Loan Account cross-platform;78033;14087;87011;49851;54132;2020-07-06T04:09:32;quantify Moldova;43132
3;3839;4961;84264;Principal azure;55143;44132;28055;70066;80603;2020-07-06T04:43:07;sky blue Bedfordshire initiatives;98127
4;55021;4603;65395;monitor Harbor Chile;2555;65614;14469;55760;19399;2020-07-06T01:49:03;Fantastic digital toolset;63506
5;3468;34174;29094;system-worthy Metal Games;48166;19905;88873;18927;81941;2020-07-06T16:57:00;target;75150
6;64509;88809;91816;non-volatile;12941;83785;15886;62364;52544;2020-07-06T02:38:18;Guadeloupe;30042
7;84266;21138;31804;Small Cotton Ball Connecticut Intelligent Steel Tuna;70702;3521;59559;45516;24931;2020-07-06T16:00:58;THX Music;55256
8;6387;70477;96770;Intelligent;67600;22099;41016;64139;45923;2020-07-05T17:39:45;blue Granite;26215
9;11537;57095;68321;Avon;77045;96372;67103;31774;33889;2020-07-06T00:59:20;Ethiopian Birr Handmade;15054
10;17763;85211;2940;PCI Avon;54680;4740;62883;98971;52074;2020-07-06T00:09:29;Buckinghamshire Agent Tasty;42481
