id;codigo_modalidade;nome;menor_palpite;maior_palpite;qtde_palpites;qtde_minima_palpites;qtde_caracteres;qtde_minima_caracteres;menor_valor;maior_valor;maior_valor_excessao;repeticao;mascara;palpite_multiplo;palpite_multiplo_terminal;ordenar;permite_palpite_aleatorio
1;auxiliary West Virginia;Lake Gabon;28914;82926;54403;62339;98459;45675;42293;29672;true;true;Global;false;false;false;true
2;Dynamic;Rubber Technician parse;10939;24977;42061;52794;4705;61427;53197;43211;true;false;plug-and-play Alabama Berkshire;false;false;false;true
3;fresh-thinking Clothing;Keyboard Auto Loan Account;37090;92716;47660;894;50241;9577;81274;35558;true;true;Configurable Home channels;false;false;false;false
4;model Turkish Lira leverage;e-business;54497;44656;45636;24623;49123;5336;311;78177;false;true;bluetooth indexing Shoals;false;true;false;true
5;sky blue Re-engineered zero defect;Movies;72183;47584;17402;18477;47866;7296;67992;73337;true;false;recontextualize Markets;true;false;true;false
6;North Dakota;solid state Armenian Dram;67666;4149;22696;26098;40599;35249;90176;59351;true;false;Directives Central;false;true;false;false
7;Ergonomic Soft Shoes Bedfordshire;HDD Corporate;48302;25571;33289;83824;13941;51911;60568;18572;true;false;Savings Account Malaysian Ringgit global;true;false;false;true
8;Agent Kids Pizza;programming;73723;96860;48826;40472;52024;78722;14586;65318;false;false;Movies microchip payment;false;true;true;true
9;Buckinghamshire;Rue analyzer;49219;95515;82606;57850;53473;44635;12363;20571;true;true;Sleek Rubber Chair indigo;false;true;false;true
10;payment Azerbaijanian Manat;RAM;52366;15338;61707;31503;90480;67341;37899;6695;false;false;Fully-configurable;true;true;false;false
